"Título","Tipo de activo","Suministró los datos","Categoría","Descripción","Etapa de publicación","Municipio","Nombre entidad","Orden","Departamento","Frequencia actualización","Fecha de creación","Fecha de publicación","Fecha última actualización","CALIFICACIÓN FINAL CALIDAD","NIVEL SELLO EXCELENCIA"
"REGISTRO ACTIVOS TURBACO INFORMACION","dataset",,,,"published","Turbaco","Personería de Turbaco","Territorial","Bolívar","Semestral","2024 Oct 28 07:24:00 AM","2024 Oct 29 06:21:00 PM","2024 Oct 29 06:21:00 PM","2.55","0"
"Número de registros de software, según entidad territorial, 2008 - 2016","dataset","Observatorio Colombiano de Ciencia y Tecnología","Ciencia, Tecnología e Innovación","Número de registros de software, según entidad territorial,para el periodo 2008 - 2016","unpublished","Bogotá D.C.","Observatorio Colombiano de Ciencia y Tecnología","Nacional","Bogotá D.C.","Anual","2017 Mar 10 02:59:00 PM",,"2017 Mar 10 03:00:00 PM","6.91","0"
"Entidades sin Ánimo de Lucro Vigentes","dataset","Cámara de Comercio de Magangué","Comercio, Industria y Turismo","Registro de Inscritos de las Entidades sin Ánimo de Lucro Vigente","published","Magangué","Cámara de Comercio de Magangué","Territorial","Bolívar","Anual","2019 Aug 30 04:33:00 AM","2020 Nov 20 02:10:00 PM","2020 Nov 20 02:10:00 PM","8.25","0"
"DOCENTES CATEDRÁTICOS POR FACULTAD","dataset","Universidad del Quindío","Educación","Docentes catedráticos por facultad académica","published","Armenia","Universidad del Quindío","Territorial","Quindío","Semestral","2022 Jun 06 09:10:00 PM","2022 Jun 06 09:28:00 PM","2022 Jun 06 09:28:00 PM","9.02","0"
"Medición de indicadores de calidad postal","dataset","Comisión de Regulación de Comunicaciones","Ciencia, Tecnología e Innovación","Medición de Calidad para los servicios postales de mensajería expresa y giros postales nacionales, a partir de la información reportada de manera periódica por los operadores postales a la Comisión de Regulación de Comunicaciones.","published","Bogotá D.C.","Comisión de Regulación de Comunicaciones","Nacional","Bogotá D.C.","Trimestral","2020 Mar 05 05:50:00 PM","2020 Mar 05 06:03:00 PM","2020 Mar 05 06:03:00 PM","8.15","0"
"Base Catastral Municipio de Guayabal de Síquima - ACC","dataset","Agencia Catastral de Cundinamarca","Ordenamiento Territorial","Shp que contiene la base catastral del municipio de Guayabal de Síquima (Terreno, Construcciones)","published","Bogotá D.C.","Agencia Catastral de Cundinamarca","Territorial","Bogotá D.C.","Anual","2023 Oct 13 12:41:00 AM","2023 Oct 13 12:45:00 AM","2023 Oct 13 12:45:00 AM","9.29","1"
"TALLERES DE REVISIÓN MECÁNICA DE VEHÍCULOS CÁMARA DE COMERCIO DE AGUACHICA","dataset","Cámara de comercio de Aguachica","Comercio, Industria y Turismo","Taller de revisión mecánica de vehículos automóvil y motocicletas","published","Aguachica","Cámara de Comercio de Aguachica","Territorial","Cesar","Anual","2021 Oct 07 05:37:00 PM","2021 Oct 07 05:49:00 PM","2021 Oct 07 05:49:00 PM","8.29","0"
"Contratos de Prestación de Servicios Vigencia 2018","dataset","Alcaldía Municipal de Becerril","Trabajo","Los contratos de prestación de servicios profesionales y de apoyo a la gestión que celebran las Entidades Estatales se encuentran regulado por la Ley 80 de 1993, siendo una modalidad de contrato estatal que se suscribe con personas naturales o jurídicas con el objeto de realizar actividades relacionadas con la administración o funcionamiento de una entidad pública.","published","Becerril","Alcaldía de Becerril","Territorial","Cesar","Semestral","2018 Apr 17 05:17:00 PM","2018 Apr 17 05:32:00 PM","2018 Apr 17 05:17:00 PM","7.32","0"
"Diagnostico Ambiental de Alternativas DAA - Licencias Ambientales Vigentes","dataset",,"Ambiente y Desarrollo Sostenible","La Corporación Autónoma Regional de las Cuencas de los Rios Negro y Nare - Cornare en busca del fortalecimiento de la transparencia institucional y el acceso a la información pública, ha construido una base de datos de información de proyectos con el fin de que las comunidades y la ciudadanía general puedan conocer el estado de éstos.

La información aquí presentada corresponde a los datos básicos de cada licencia o permiso ambiental. Si desea ampliar la información, podrá solicitarla a través de nuestros canales de servicio indicados en https://www.cornare.gov.co/","published","El Santuario","Corporación Autónoma Regional de las Cuencas de los Ríos Negro y Nare","Nacional","Antioquia","Anual","2021 Jun 30 08:15:00 PM","2021 Jun 30 08:19:00 PM","2021 Jun 30 08:19:00 PM","7.33","0"
"Instrumentos de Gestión de la Información Pública","dataset","Cámara de Representantes","Función pública","En este conjunto de Datos se encuentra el registro de activos de información, el esquema de publicación de información y el índice de información clasificada y reservada.","published","Bogotá D.C.","Cámara de Representantes","Nacional","Bogotá D.C.","Trienio","2020 Dec 24 12:33:00 AM","2021 Feb 03 03:58:00 PM","2021 Feb 03 03:58:00 PM","7.94","0"
"Informacion centro de atencion integral a victimas - Auxilios Funerarios - Serie 3 de 3","dataset","SECRETARÍA DEL INTERIOR","Inclusión Social y Reconciliación","Caracterización de la población beneficiaria de ayuda humanitaria por declaración como víctimas del conflicto armado,  incluye: núcleos de familia con sus cantidades de integrantes,  edad, grupo etario, curso de vida, sexo, LGTBI, gestante, cabeza de familia, discapacidad, adulto mayor, afrodescendiente, mestizo, indígena, Rrom, amenaza, desplazamiento, reclutamiento forzado, secuestro, homicidio, tortura, delitos contra libertad e integridad sexual, minas antipersonal, acto terrorista, despojo y abandono de bienes, vinculación de NNA grupos armados,  migrantes, venezolanos, orientación, atención psicológica, apoyo, articulación interinstitucional, auxilio funerario; de enero 2017 a octubre 2023","published","Bucaramanga","Alcaldía de Bucaramanga","Territorial","Santander","No aplica","2019 Feb 27 10:29:00 PM","2023 Aug 17 05:05:00 PM","2023 Dec 16 05:42:00 AM","9.19","0"
"Muertes violentas según sexo. Colombia, comparativo 2018 y 2019 (enero-junio)","dataset","Instituto Nacional de Medicina Legal y Ciencias Forenses","Justicia y Derecho","Muertes violentas según sexo. Colombia: comparativo 2018 y 2019 (enero-junio)","published","Bogotá D.C.","Instituto Nacional de Medicina Legal y Ciencias Forenses","Nacional","Bogotá D.C.","No aplica","2019 Jul 30 03:58:00 PM","2019 Jul 30 04:04:00 PM","2019 Jul 30 04:04:00 PM","8.26","0"
"Sitios de Intrés","dataset","Alcaldía municipal de anzoátegui","Comercio, Industria y Turismo","En este documento de datos abiertos se encuentra información de los sitios de interés del municipio de Anzoátegui.","published","Anzoátegui","Alcaldía de Anzoátegui","Territorial","Tolima","Semanal","2016 Nov 01 03:39:00 PM","2019 Apr 02 10:47:00 PM","2017 May 03 10:32:00 PM","8.02","0"
"Estadística de la Población Beneficiadas en el Programa Familias en Acción","dataset",,"Inclusión Social y Reconciliación","Programa familias en Acción","published","Mapiripán","Alcaldía de Mapiripán","Territorial","Meta","Semestral","2020 Dec 09 05:06:00 AM","2020 Dec 09 05:11:00 AM","2020 Dec 09 05:11:00 AM","7.5","0"
"GRADUADOS POR JORNADA","dataset","Universidad del quindio","Educación","Estudiantes graduados por jornada académica varios periodos","published","Armenia","Universidad del Quindío","Territorial","Quindío","Semestral","2023 Mar 23 01:20:00 PM","2023 Mar 23 01:45:00 PM","2023 Mar 23 01:45:00 PM","8.9","1"
"Esquema de Publicación de Información","dataset","Notaría Tercera de Tunja - Boyacá","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.(Decreto 103 de 2015, art. 41)","published","Tunja","Notaría 3 de Tunja","Territorial","Boyacá","No aplica","2024 Aug 26 03:18:00 PM","2024 Aug 26 03:22:00 PM","2024 Aug 26 03:21:00 PM","8.2","1"
"Tarifas de tramites y servicios 2021 - Secretaría de Tránsito y Transporte","dataset","Secretaría de Tránsito y Transporte Municipal de Nariño","Transporte",,"published","Nariño","Alcaldía de Nariño","Territorial","Nariño","Anual","2021 May 05 03:50:00 PM","2021 May 05 03:55:00 PM","2021 May 05 03:55:00 PM","7.01","0"
"Distritos de Riego","dataset","Gobernacion de Risaralda","Agricultura y Desarrollo Rural","Distritos de Riego en Risaralda","published","Pereira","Gobernación de Risaralda","Territorial","Risaralda","Anual","2019 Aug 08 02:18:00 PM","2019 Aug 08 05:03:00 PM","2019 Aug 08 05:03:00 PM","8.27","0"
"CONVENIOS DESCUENTO DE MATRICULA 2014 - Vigentes a 2016","dataset","Universidad Nacional Abierta y A Distancia","Educación","Convenios vigentes con los que cuenta la Universidad y que son gestionados por la Vicerrectoría de Desarrollo Regional y Proyección Comunitaria","published","Bogotá D.C.","Universidad Nacional Abierta y a Distancia - UNAD","Nacional","Bogotá D.C.","Anual","2016 Oct 25 05:04:00 PM","2016 Oct 25 05:08:00 PM","2016 Oct 25 05:08:00 PM","7.99","0"
"CONSOLIDADO CONTRATACIÓN ANTIOQUIA DICIEMBRE 2021","dataset","Contraloría General de Antioquia","Organismos de Control","Reporte Consolidado de Contratación del mes de diciembre de 2021 de las entidades públicas que audita la Contraloría General de Antioquia","published","Medellín","Contraloría General de Antioquia","Territorial","Antioquia","Mensual","2022 Nov 01 06:50:00 PM","2022 Nov 01 08:44:00 PM","2022 Nov 01 08:44:00 PM","8.84","1"
"Reporte Competencia Alkosto Villavo","dataset","ALKOSTO","Ciencia, Tecnología e Innovación","xxxx","unpublished","Villavicencio","Gobernación de Meta","Territorial","Meta","Anual","2018 Feb 02 03:04:00 PM",,"2018 Feb 02 03:04:00 PM","7.24","0"
"CULTIVOS TRANSITORIOS MUNICIPIO DE ANZOATEGUI","dataset",,"Agricultura y Desarrollo Rural","datos sobre las áreas sembradas y producción de algunos cultivos en el municipio de Anzoategui para el periodo 2017B","published","Anzoátegui","Alcaldía de Anzoátegui","Territorial","Tolima","Semestral","2018 Oct 05 10:25:00 PM","2018 Oct 05 10:33:00 PM","2018 Oct 05 10:25:00 PM","7.38","0"
"Directorio Telefónico Empresas Públicas de Armenia ESP","dataset","Empresas Públicas de Armenia ESP","Función pública",,"published","Armenia","Empresas Publicas Municipales de Armenia","Territorial","Quindío","No aplica","2023 Jun 09 08:07:00 PM","2023 Aug 09 02:04:00 PM","2023 Aug 09 02:06:00 PM","7.79","0"
"Empresas Sector Contable","dataset","Cámara de Comercio de Palmira","Estadísticas Nacionales","Base de datos de empresas del sector contable","published","Palmira","Cámara de Comercio de Palmira","Territorial","Valle del Cauca","Semestral","2023 Aug 24 10:00:00 PM","2023 Aug 24 10:24:00 PM","2023 Aug 24 10:24:00 PM","3.32","0"
"GRADUADOS POR SEDE","dataset","Universidad del quindio","Educación","Estudiantes graduados por sedes uniquindio varios periodos","published","Armenia","Universidad del Quindío","Territorial","Quindío","Semestral","2023 Mar 23 04:58:00 PM","2023 Mar 23 07:55:00 PM","2023 Mar 23 07:55:00 PM","8.9","1"
"ESTABLECIMIENTOS DE COMERCIO MUNICIPIO DE LA UNIÓN VALLE DEL CAUCA","dataset",,"Comercio, Industria y Turismo","Datos de los establecimientos de Comercio del municipio de La Unión Valle del Cauca","published","La Unión","Alcaldía de La Unión","Territorial","Valle del Cauca","No aplica","2022 Sep 02 04:11:00 PM","2022 Sep 02 04:26:00 PM","2022 Sep 02 04:26:00 PM","8.64","1"
"Superservicios - Inventario de Transformadores","dataset","Superintendencia de Servicios Publicos Domiciliarios","Minas y Energía","Formato TT2- Inventario de Transformadores","published","Bogotá D.C.","Superintendencia de Servicios Públicos Domiciliarios","Nacional","Bogotá D.C.","Semestral","2024 Dec 08 08:18:00 PM","2024 Dec 08 08:49:00 PM","2024 Dec 08 08:36:00 PM","8.75","0"
"Índice de Información clasificada y reservada","dataset","Notaría Única del Círculo Caramanta","Función pública","Índice de Información clasificada y reservada","published","Caramanta","Notaría Única de Caramanta, Antioquia","Territorial","Antioquia","Anual","2024 Feb 08 04:33:00 PM","2024 Feb 08 04:59:00 PM","2024 Feb 08 04:58:00 PM","8.98","0"
"Objetivos y Estrategias Emservilla 2023","dataset","Emservilla SA ESP","Vivienda, Ciudad y Territorio","Seguimiento a los objetivos y estretegias de la Empresa Emservilla SA ESP 2023","published","Villa de San Diego de Ubate","Emservilla S.A. E.S.P.","Territorial","Cundinamarca","Mensual","2023 Aug 11 07:32:00 PM","2023 Aug 11 07:58:00 PM","2023 Aug 11 07:58:00 PM","8.58","0"
"Catastro y caracterización de arboles urbanos del municipio de Pijao","dataset","Gobernación del departamento del Quindio","Ambiente y Desarrollo Sostenible","Catastro y caracterizacion de los árboles ubicados en la zona urbana del municipio de Pijao","published","Pijao","Alcaldía de Pijao","Territorial","Quindío","No aplica","2023 May 13 04:39:00 PM","2023 May 13 04:52:00 PM","2023 May 13 04:51:00 PM","8.89","1"
"Estado Proyectos de Inversión","dataset","Secretaría de Planeación","Presupuestos Gubernamentales","Tercer año consecutivo liderando la secretaria técnica.","published","Florencia","Gobernación de Caquetá","Territorial","Caquetá","Anual","2019 Mar 14 07:12:00 PM","2019 Mar 14 07:24:00 PM","2019 Mar 14 07:24:00 PM","7.14","0"
"SECTOR URBANO -BARRIOS- MUNICIPIO DE SIBUNDOY","dataset","ALCALDIA DE SIBUNDOY","Vivienda, Ciudad y Territorio","Se muestra el sector urbano con sus respectivos barrios en el municipio de Sibundoy","published","Sibundoy","Alcaldía de Sibundoy","Territorial","Putumayo","Anual","2016 Oct 27 05:04:00 AM","2016 Oct 27 05:09:00 AM","2016 Oct 27 05:05:00 AM","7.91","0"
"Consultas Odontológicas","dataset","Empresa Social del estado Pasto Salud E.S.E",,"Consultas odontológicas realizadas por la Empresa Social del Estado Pasto Salud ESE","published","Pasto","Empresa Social del Estado Pasto Salud","Territorial","Nariño","Trimestral","2020 May 14 09:43:00 PM","2020 May 14 10:00:00 PM","2022 Dec 28 06:36:00 PM","8.71","0"
